datetime_beginning_utc,datetime_beginning_ept,area,wind_generation_mw
4/2/2021 1:00,4/1/2021 21:00,SOUTH,219.541
4/2/2021 0:00,4/1/2021 20:00,SOUTH,261.455
4/1/2021 23:00,4/1/2021 19:00,SOUTH,190.522
4/1/2021 22:00,4/1/2021 18:00,SOUTH,175.124
4/1/2021 21:00,4/1/2021 17:00,SOUTH,207.127
4/1/2021 20:00,4/1/2021 16:00,SOUTH,212.057
4/1/2021 19:00,4/1/2021 15:00,SOUTH,221.147
4/1/2021 18:00,4/1/2021 14:00,SOUTH,188.583
4/1/2021 17:00,4/1/2021 13:00,SOUTH,199.603
4/1/2021 16:00,4/1/2021 12:00,SOUTH,223.575
4/1/2021 15:00,4/1/2021 11:00,SOUTH,237.345
4/1/2021 14:00,4/1/2021 10:00,SOUTH,238.485
4/1/2021 13:00,4/1/2021 9:00,SOUTH,251.118
4/1/2021 12:00,4/1/2021 8:00,SOUTH,280.315
4/1/2021 11:00,4/1/2021 7:00,SOUTH,292.228
4/1/2021 10:00,4/1/2021 6:00,SOUTH,300.869
4/1/2021 9:00,4/1/2021 5:00,SOUTH,237.92
4/1/2021 8:00,4/1/2021 4:00,SOUTH,197.219
4/1/2021 7:00,4/1/2021 3:00,SOUTH,143.883
4/1/2021 6:00,4/1/2021 2:00,SOUTH,138.71
4/1/2021 5:00,4/1/2021 1:00,SOUTH,176.768
4/1/2021 4:00,4/1/2021 0:00,SOUTH,138.501
